保存日线数据，代码： 000564, 插入：   1条, 更新：   0条
保存日线数据，代码： 000564, 插入：   1条, 更新：   0条
保存日线数据，代码： 300298, 插入：1108条, 更新：   0条
保存日线数据，代码： 300298, 插入：1108条, 更新：   0条
保存日线数据，代码： 688363, 插入： 129条, 更新：   0条
保存日线数据，代码： 688363, 插入： 129条, 更新：   0条
保存日线数据，代码： 688029, 插入： 200条, 更新：   0条
保存日线数据，代码： 688029, 插入： 200条, 更新：   0条
保存日线数据，代码： 603056, 插入： 566条, 更新：   0条
保存日线数据，代码： 603056, 插入： 566条, 更新：   0条
保存日线数据，代码： 603090, 插入： 845条, 更新：   0条
保存日线数据，代码： 603090, 插入： 845条, 更新：   0条
保存日线数据，代码： 300623, 插入： 775条, 更新：   0条
保存日线数据，代码： 300623, 插入： 775条, 更新：   0条
保存日线数据，代码： 000710, 插入：1161条, 更新：   0条
保存日线数据，代码： 000710, 插入：1161条, 更新：   0条
保存日线数据，代码： 600584, 插入：1144条, 更新：   0条
保存日线数据，代码： 600584, 插入：1144条, 更新：   0条
保存日线数据，代码： 000546, 插入：1276条, 更新：   0条
保存日线数据，代码： 000546, 插入：1276条, 更新：   0条
保存日线数据，代码： 688200, 插入：  62条, 更新：   0条
保存日线数据，代码： 688200, 插入：  62条, 更新：   0条
保存日线数据，代码： 688019, 插入： 200条, 更新：   0条
保存日线数据，代码： 688019, 插入： 200条, 更新：   0条
保存日线数据，代码： 300161, 插入：1216条, 更新：   0条
保存日线数据，代码： 300161, 插入：1216条, 更新：   0条
保存日线数据，代码： 002074, 插入：1276条, 更新：   0条
保存日线数据，代码： 002074, 插入：1276条, 更新：   0条
保存日线数据，代码： 002880, 插入： 674条, 更新：   0条
保存日线数据，代码： 002880, 插入： 674条, 更新：   0条
保存日线数据，代码： 000636, 插入：1163条, 更新：   0条
保存日线数据，代码： 000636, 插入：1163条, 更新：   0条
保存日线数据，代码： 600546, 插入：1258条, 更新：   0条
保存日线数据，代码： 600546, 插入：1258条, 更新：   0条
保存日线数据，代码： 300662, 插入： 670条, 更新：   0条
保存日线数据，代码： 300662, 插入： 670条, 更新：   0条
保存日线数据，代码： 688111, 插入： 121条, 更新：   0条
保存日线数据，代码： 688111, 插入： 121条, 更新：   0条
保存日线数据，代码： 600966, 插入：1300条, 更新：   0条
保存日线数据，代码： 600966, 插入：1300条, 更新：   0条
保存日线数据，代码： 688100, 插入：  76条, 更新：   0条
保存日线数据，代码： 688100, 插入：  76条, 更新：   0条
保存日线数据，代码： 603258, 插入： 868条, 更新：   0条
保存日线数据，代码： 603258, 插入： 868条, 更新：   0条
保存日线数据，代码： 002976, 插入：  49条, 更新：   0条
保存日线数据，代码： 002976, 插入：  49条, 更新：   0条
保存日线数据，代码： 002273, 插入：1308条, 更新：   0条
保存日线数据，代码： 002273, 插入：1308条, 更新：   0条
保存日线数据，代码： 600537, 插入：1283条, 更新：   0条
保存日线数据，代码： 600537, 插入：1283条, 更新：   0条
保存日线数据，代码： 600751, 插入：1020条, 更新：   0条
保存日线数据，代码： 600751, 插入：1020条, 更新：   0条
保存日线数据，代码： 300791, 插入： 154条, 更新：   0条
保存日线数据，代码： 300791, 插入： 154条, 更新：   0条
保存日线数据，代码： 603179, 插入： 772条, 更新：   0条
保存日线数据，代码： 603179, 插入： 772条, 更新：   0条
保存日线数据，代码： 300346, 插入：1252条, 更新：   0条
保存日线数据，代码： 300346, 插入：1252条, 更新：   0条
保存日线数据，代码： 300118, 插入：1211条, 更新：   0条
保存日线数据，代码： 300118, 插入：1211条, 更新：   0条
保存日线数据，代码： 002741, 插入：1233条, 更新：   0条
保存日线数据，代码： 002741, 插入：1233条, 更新：   0条
保存日线数据，代码： 002436, 插入：1170条, 更新：   0条
保存日线数据，代码： 002436, 插入：1170条, 更新：   0条
保存日线数据，代码： 000733, 插入：1280条, 更新：   0条
保存日线数据，代码： 000733, 插入：1280条, 更新：   0条
保存日线数据，代码： 603626, 插入： 798条, 更新：   0条
保存日线数据，代码： 603626, 插入： 798条, 更新：   0条
保存日线数据，代码： 300031, 插入：1179条, 更新：   0条
保存日线数据，代码： 300031, 插入：1179条, 更新：   0条
保存日线数据，代码： 002331, 插入：1086条, 更新：   0条
保存日线数据，代码： 002331, 插入：1086条, 更新：   0条
保存日线数据，代码： 300418, 插入：1225条, 更新：   0条
保存日线数据，代码： 300418, 插入：1225条, 更新：   0条
保存日线数据，代码： 600136, 插入：1051条, 更新：   0条
保存日线数据，代码： 600136, 插入：1051条, 更新：   0条
保存日线数据，代码： 600426, 插入：1301条, 更新：   0条
保存日线数据，代码： 600426, 插入：1301条, 更新：   0条
保存日线数据，代码： 600360, 插入：1299条, 更新：   0条
保存日线数据，代码： 600360, 插入：1299条, 更新：   0条
保存日线数据，代码： 002983, 插入：  13条, 更新：   0条
保存日线数据，代码： 002983, 插入：  13条, 更新：   0条
保存日线数据，代码： 603012, 插入：1254条, 更新：   0条
保存日线数据，代码： 603012, 插入：1254条, 更新：   0条
保存日线数据，代码： 600161, 插入：1187条, 更新：   0条
保存日线数据，代码： 600161, 插入：1187条, 更新：   0条
保存日线数据，代码： 300706, 插入： 640条, 更新：   0条
保存日线数据，代码： 300706, 插入： 640条, 更新：   0条
保存日线数据，代码： 002759, 插入：   1条, 更新：   0条
保存日线数据，代码： 002759, 插入：   1条, 更新：   0条
保存日线数据，代码： 600004, 插入：1308条, 更新：   0条
保存日线数据，代码： 600004, 插入：1308条, 更新：   0条
保存日线数据，代码： 002702, 插入：   1条, 更新：   0条
保存日线数据，代码： 002702, 插入：   1条, 更新：   0条
保存日线数据，代码： 600309, 插入：1175条, 更新：   0条
保存日线数据，代码： 600309, 插入：1175条, 更新：   0条
保存日线数据，代码： 300577, 插入： 828条, 更新：   0条
保存日线数据，代码： 300577, 插入： 828条, 更新：   0条
保存日线数据，代码： 300729, 插入： 597条, 更新：   0条
保存日线数据，代码： 300729, 插入： 597条, 更新：   0条
保存日线数据，代码： 002345, 插入：1112条, 更新：   0条
保存日线数据，代码： 002345, 插入：1112条, 更新：   0条
保存日线数据，代码： 600459, 插入：   1条, 更新：   0条
保存日线数据，代码： 600459, 插入：   1条, 更新：   0条
保存日线数据，代码： 300496, 插入：1018条, 更新：   0条
保存日线数据，代码： 300496, 插入：1018条, 更新：   0条
保存日线数据，代码： 603596, 插入： 500条, 更新：   0条
保存日线数据，代码： 603596, 插入： 500条, 更新：   0条
保存日线数据，代码： 002343, 插入：1211条, 更新：   0条
